Olusturulma Tarihi : Thu Dec 26 21:31:18 2019

Arama Islemi 
Minimum Komsu Sayisi: 0
Maksimum Komsu Sayisi(0 sonsuzu gosterir): 99
Plaka:[1] 	 Sehir Adi:Adana	Bolge: AK 	 Komsu Sayisi: 6
Plaka:[2] 	 Sehir Adi:Adiyaman	Bolge: GA 	 Komsu Sayisi: 5
Plaka:[3] 	 Sehir Adi:Afyonkarahisar	Bolge: EG 	 Komsu Sayisi: 7
Plaka:[4] 	 Sehir Adi:Agri	Bolge: DA 	 Komsu Sayisi: 6
Plaka:[5] 	 Sehir Adi:Amasya	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[6] 	 Sehir Adi:Ankara	Bolge: IA 	 Komsu Sayisi: 7
Plaka:[7] 	 Sehir Adi:Antalya	Bolge: AK 	 Komsu Sayisi: 6
Plaka:[8] 	 Sehir Adi:Artvin	Bolge: KA 	 Komsu Sayisi: 3
Plaka:[9] 	 Sehir Adi:Aydin	Bolge: EG 	 Komsu Sayisi: 4
Plaka:[10] 	 Sehir Adi:Balikesir	Bolge: MA 	 Komsu Sayisi: 5
Plaka:[11] 	 Sehir Adi:Bilecik	Bolge: MA 	 Komsu Sayisi: 5
Plaka:[12] 	 Sehir Adi:Bingol	Bolge: DA 	 Komsu Sayisi: 6
Plaka:[13] 	 Sehir Adi:Bitlis	Bolge: DA 	 Komsu Sayisi: 5
Plaka:[14] 	 Sehir Adi:Bolu	Bolge: KA 	 Komsu Sayisi: 8
Plaka:[15] 	 Sehir Adi:Burdur	Bolge: AK 	 Komsu Sayisi: 5
Plaka:[16] 	 Sehir Adi:Bursa	Bolge: MA 	 Komsu Sayisi: 6
Plaka:[17] 	 Sehir Adi:Canakkale	Bolge: MA 	 Komsu Sayisi: 3
Plaka:[18] 	 Sehir Adi:Cankiri	Bolge: IA 	 Komsu Sayisi: 6
Plaka:[19] 	 Sehir Adi:Corum	Bolge: KA 	 Komsu Sayisi: 7
Plaka:[20] 	 Sehir Adi:Denizli	Bolge: EG 	 Komsu Sayisi: 6
Plaka:[21] 	 Sehir Adi:Diyarbakir	Bolge: GA 	 Komsu Sayisi: 8
Plaka:[22] 	 Sehir Adi:Edirne	Bolge: MA 	 Komsu Sayisi: 3
Plaka:[23] 	 Sehir Adi:Elazig	Bolge: DA 	 Komsu Sayisi: 5
Plaka:[24] 	 Sehir Adi:Erzincan	Bolge: DA 	 Komsu Sayisi: 9
Plaka:[25] 	 Sehir Adi:Erzurum	Bolge: DA 	 Komsu Sayisi: 9
Plaka:[26] 	 Sehir Adi:Eskisehir	Bolge: IA 	 Komsu Sayisi: 6
Plaka:[27] 	 Sehir Adi:Gaziantep	Bolge: GA 	 Komsu Sayisi: 6
Plaka:[28] 	 Sehir Adi:Giresun	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[29] 	 Sehir Adi:Gumushane	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[30] 	 Sehir Adi:Hakkari	Bolge: DA 	 Komsu Sayisi: 2
Plaka:[31] 	 Sehir Adi:Hatay	Bolge: AK 	 Komsu Sayisi: 3
Plaka:[32] 	 Sehir Adi:Isparta	Bolge: AK 	 Komsu Sayisi: 4
Plaka:[33] 	 Sehir Adi:Mersin	Bolge: AK 	 Komsu Sayisi: 5
Plaka:[34] 	 Sehir Adi:Istanbul	Bolge: MA 	 Komsu Sayisi: 2
Plaka:[35] 	 Sehir Adi:Izmir	Bolge: EG 	 Komsu Sayisi: 3
Plaka:[36] 	 Sehir Adi:Kars	Bolge: DA 	 Komsu Sayisi: 4
Plaka:[37] 	 Sehir Adi:Kastamonu	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[38] 	 Sehir Adi:Kayseri	Bolge: IA 	 Komsu Sayisi: 6
Plaka:[39] 	 Sehir Adi:Kirklareli	Bolge: MA 	 Komsu Sayisi: 2
Plaka:[40] 	 Sehir Adi:Kirsehir	Bolge: IA 	 Komsu Sayisi: 5
Plaka:[41] 	 Sehir Adi:Kocaeli	Bolge: MA 	 Komsu Sayisi: 4
Plaka:[42] 	 Sehir Adi:Konya	Bolge: IA 	 Komsu Sayisi: 9
Plaka:[43] 	 Sehir Adi:Kutahya	Bolge: EG 	 Komsu Sayisi: 7
Plaka:[44] 	 Sehir Adi:Malatya	Bolge: DA 	 Komsu Sayisi: 6
Plaka:[45] 	 Sehir Adi:Manisa	Bolge: EG 	 Komsu Sayisi: 6
Plaka:[46] 	 Sehir Adi:Kahramanmaras	Bolge: AK 	 Komsu Sayisi: 7
Plaka:[47] 	 Sehir Adi:Mardin	Bolge: GA 	 Komsu Sayisi: 5
Plaka:[48] 	 Sehir Adi:Mugla	Bolge: EG 	 Komsu Sayisi: 4
Plaka:[49] 	 Sehir Adi:Mus	Bolge: DA 	 Komsu Sayisi: 6
Plaka:[50] 	 Sehir Adi:Nevsehir	Bolge: IA 	 Komsu Sayisi: 5
Plaka:[51] 	 Sehir Adi:Nigde	Bolge: IA 	 Komsu Sayisi: 6
Plaka:[52] 	 Sehir Adi:Ordu	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[53] 	 Sehir Adi:Rize	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[54] 	 Sehir Adi:Sakarya	Bolge: MA 	 Komsu Sayisi: 5
Plaka:[55] 	 Sehir Adi:Samsun	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[56] 	 Sehir Adi:Siirt	Bolge: GA 	 Komsu Sayisi: 5
Plaka:[57] 	 Sehir Adi:Sinop	Bolge: KA 	 Komsu Sayisi: 3
Plaka:[58] 	 Sehir Adi:Sivas	Bolge: IA 	 Komsu Sayisi: 8
Plaka:[59] 	 Sehir Adi:Tekirdag	Bolge: MA 	 Komsu Sayisi: 4
Plaka:[60] 	 Sehir Adi:Tokat	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[61] 	 Sehir Adi:Trabzon	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[62] 	 Sehir Adi:Tunceli	Bolge: DA 	 Komsu Sayisi: 3
Plaka:[63] 	 Sehir Adi:Sanliurfa	Bolge: GA 	 Komsu Sayisi: 4
Plaka:[64] 	 Sehir Adi:Usak	Bolge: EG 	 Komsu Sayisi: 4
Plaka:[65] 	 Sehir Adi:Van	Bolge: DA 	 Komsu Sayisi: 5
Plaka:[66] 	 Sehir Adi:Yozgat	Bolge: IA 	 Komsu Sayisi: 8
Plaka:[67] 	 Sehir Adi:Zonguldak	Bolge: KA 	 Komsu Sayisi: 4
Plaka:[68] 	 Sehir Adi:Aksaray	Bolge: IA 	 Komsu Sayisi: 5
Plaka:[69] 	 Sehir Adi:Bayburt	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[70] 	 Sehir Adi:Karaman	Bolge: IA 	 Komsu Sayisi: 3
Plaka:[71] 	 Sehir Adi:Kirikkale	Bolge: IA 	 Komsu Sayisi: 5
Plaka:[72] 	 Sehir Adi:Batman	Bolge: GA 	 Komsu Sayisi: 5
Plaka:[73] 	 Sehir Adi:Sirnak	Bolge: GA 	 Komsu Sayisi: 4
Plaka:[74] 	 Sehir Adi:Bartin	Bolge: KA 	 Komsu Sayisi: 3
Plaka:[75] 	 Sehir Adi:Ardahan	Bolge: DA 	 Komsu Sayisi: 3
Plaka:[76] 	 Sehir Adi:Igdir	Bolge: DA 	 Komsu Sayisi: 2
Plaka:[77] 	 Sehir Adi:Yalova	Bolge: MA 	 Komsu Sayisi: 2
Plaka:[78] 	 Sehir Adi:Karabuk	Bolge: KA 	 Komsu Sayisi: 5
Plaka:[79] 	 Sehir Adi:Kilis	Bolge: GA 	 Komsu Sayisi: 1
